Found 670 errors in 81 files.

Errors  Files
     4  client/public/sw.js:5
    31  client/src/__tests__/safety-engine.test.js:73
    31  client/src/analytics/analytics.test.js:28
     4  client/src/analytics/anonymizer.js:59
     1  client/src/analytics/data-logger.js:81
    20  client/src/analytics/query-sampler.js:37
    10  client/src/components/FeedbackNotice.jsx:24
     4  client/src/components/GlobalErrorBoundary.jsx:3
     1  client/src/components/InstallationNotice.jsx:169
    92  client/src/components/MessageBubble.jsx:36
     1  client/src/components/SupabaseDownBanner.jsx:2
     2  client/src/components/ThemeToggle.jsx:1
     8  client/src/components/Toast.jsx:5
     5  client/src/components/ToastProvider.jsx:18
    14  client/src/components/TriageWarning.jsx:29
     3  client/src/components/UpdateNotification.jsx:41
     4  client/src/components/ui/breadcrumb.jsx:46
     6  client/src/components/ui/button.jsx:47
     1  client/src/components/ui/calendar.jsx:1
     4  client/src/components/ui/card.jsx:45
     1  client/src/components/ui/carousel.jsx:6
    18  client/src/components/ui/chart.jsx:115
     2  client/src/components/ui/checkbox.jsx:43
     3  client/src/components/ui/collapsible.jsx:7
     6  client/src/components/ui/command.jsx:6
    49  client/src/components/ui/dropdown-menu.jsx:66
    35  client/src/components/ui/form.jsx:4
     9  client/src/components/ui/input-otp.jsx:4
     2  client/src/components/ui/input.jsx:47
     3  client/src/components/ui/menubar.jsx:189
     7  client/src/components/ui/pagination.jsx:49
     2  client/src/components/ui/popover.jsx:47
     1  client/src/components/ui/progress.jsx:56
     1  client/src/components/ui/resizable.jsx:20
     2  client/src/components/ui/scroll-area.jsx:60
     2  client/src/components/ui/separator.jsx:65
     4  client/src/components/ui/sidebar.jsx:2
     2  client/src/components/ui/skeleton.jsx:23
     2  client/src/components/ui/slider.jsx:45
     1  client/src/components/ui/switch.jsx:44
     9  client/src/components/ui/tabs.jsx:30
     2  client/src/components/ui/textarea.jsx:45
     4  client/src/components/ui/toaster.jsx:20
     4  client/src/components/ui/toggle-group.jsx:101
     5  client/src/components/ui/toggle.jsx:73
     1  client/src/components/ui/tooltip.jsx:71
     1  client/src/contexts/AuthAvailabilityContext.jsx:26
    12  client/src/hooks/useSupabaseAuth.jsx:35
     6  client/src/lib/config/safety-rules.js:214
     2  client/src/lib/debug-flag.js:17
     2  client/src/lib/disclaimers.js:93
     7  client/src/lib/feedback-api.js:69
     7  client/src/lib/intent-parser.js:167
     1  client/src/lib/layer-context.js:49
     4  client/src/lib/llm-api.jsx:422
     8  client/src/lib/llm-integration/llm-adapter.js:136
     6  client/src/lib/localization/regional-adapters.js:137
     1  client/src/lib/medical-domains/follow-up-templates.js:338
     1  client/src/lib/medical-domains/pediatric-conditions.js:251
    14  client/src/lib/medical-layer/fallback-engine.js:6
    13  client/src/lib/medical-layer/triage-engine.js:246
     3  client/src/lib/output-spec.js:71
     2  client/src/lib/prompt-enhancer.js:200
     1  client/src/lib/queryClient.jsx:136
     3  client/src/lib/router.js:45
    10  client/src/lib/suggestions.js:492
     2  client/src/lib/trace-sink.js:9
     6  client/src/lib/user-role-detector.js:188
     5  client/src/lib/utils/message-logger.js:71
    12  client/src/pages/ChatPage.jsx:321
     8  client/src/pages/LegalPage.jsx:281
    27  client/src/qa/feedback-handler.js:64
    14  client/src/qa/metrics-evaluator.js:52
    13  client/src/tests/layer-tests/context-integration.test.js:19
    14  client/src/tests/layer-tests/intent-parser.test.js:20
     7  client/src/tests/layer-tests/router-e2e.test.js:20
     8  client/src/tests/layer-tests/router-integration-test.js:20
     8  client/src/tests/layer-tests/router-phase4-validation.js:20
    14  client/src/tests/layer-tests/router.test.js:20
     1  client/src/tests/layer-tests/schema-validator.test.js:19
     4  client/src/tests/layer-tests/triage-validation.js:12
